epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1009.64,1.0125,0.85926,1.01889,0.99915,0.99963,0.99493,0.73741,0.94871,0.40913,0.98815,0.0033312,0.0033312,0.0033312
2,1928.73,1.00294,0.45647,1.02046,0.99946,0.99902,0.99499,0.75954,0.95365,0.35637,0.9933,0.00645835,0.00645835,0.00645835
3,2847.07,1.0096,0.44593,1.03138,0.99831,0.99989,0.9949,0.75791,0.93957,0.3339,0.98914,0.00937925,0.00937925,0.00937925
4,3764.04,0.99366,0.42401,1.02408,0.99947,0.99988,0.99497,0.77242,0.92525,0.30202,0.98068,0.00907188,0.00907188,0.00907188
5,4681.81,0.97495,0.39659,1.0169,0.99961,0.99993,0.99497,0.77675,0.91283,0.28677,0.98689,0.0087625,0.0087625,0.0087625
6,5599.05,0.96639,0.38588,1.0187,0.99946,0.99992,0.99499,0.77928,0.91043,0.27828,0.98554,0.00845313,0.00845313,0.00845313
7,6515.97,0.96011,0.37745,1.0143,0.99957,0.99995,0.99499,0.78144,0.90634,0.26944,0.97957,0.00814375,0.00814375,0.00814375
8,7437.12,0.95346,0.37146,1.00964,0.99957,0.99997,0.99498,0.78292,0.90403,0.26543,0.97569,0.00783438,0.00783438,0.00783438
9,8353.46,0.95001,0.3672,1.01696,0.99964,0.99995,0.99497,0.78193,0.90304,0.26343,0.98684,0.007525,0.007525,0.007525
10,9270.42,0.94825,0.36254,1.01708,0.99967,0.99993,0.99498,0.7832,0.90214,0.26081,0.98805,0.00721562,0.00721562,0.00721562
11,10188.4,0.94476,0.35871,1.01307,0.99975,0.99996,0.99499,0.78304,0.90104,0.25875,0.98502,0.00690625,0.00690625,0.00690625
12,11106,0.94279,0.35552,1.00576,0.99974,0.99995,0.99499,0.78362,0.90027,0.25725,0.98168,0.00659688,0.00659688,0.00659688
13,12022.7,0.94149,0.35281,1.00715,0.99975,0.99996,0.99499,0.78392,0.89981,0.25608,0.98012,0.0062875,0.0062875,0.0062875
14,12939.9,0.93735,0.34889,1.00651,0.99976,0.99995,0.99499,0.78441,0.89966,0.25532,0.97927,0.00597812,0.00597812,0.00597812
15,13856.3,0.93599,0.34817,1.01018,0.99976,0.99995,0.99499,0.78441,0.8995,0.25468,0.97901,0.00566875,0.00566875,0.00566875
16,14772.3,0.93497,0.34439,1.01205,0.99978,0.99997,0.995,0.78474,0.8991,0.25412,0.97943,0.00535937,0.00535937,0.00535937
17,15690.2,0.93151,0.34153,1.00834,0.99979,0.99996,0.995,0.78479,0.89867,0.2535,0.97912,0.00505,0.00505,0.00505
18,16608.6,0.93152,0.33967,1.01084,0.9998,0.99996,0.995,0.7853,0.89821,0.25272,0.9786,0.00474063,0.00474063,0.00474063
19,17525.9,0.92852,0.33833,1.00769,0.9998,0.99995,0.995,0.78516,0.89787,0.25218,0.97808,0.00443125,0.00443125,0.00443125
20,18445.5,0.92736,0.33548,1.01145,0.99982,0.99997,0.995,0.7856,0.89762,0.25162,0.97827,0.00412187,0.00412187,0.00412187
21,19364.7,0.92473,0.33178,1.00301,0.99985,0.99996,0.995,0.78635,0.89728,0.25077,0.97804,0.0038125,0.0038125,0.0038125
22,20284.1,0.92287,0.328,1.0002,0.99986,0.99996,0.995,0.78655,0.89669,0.24987,0.97712,0.00350313,0.00350313,0.00350313
23,21214.7,0.91602,0.31024,1.02035,0.99987,0.99997,0.995,0.78635,0.89645,0.24962,0.97823,0.00319375,0.00319375,0.00319375
24,22142,0.91328,0.30892,1.02007,0.99989,0.99996,0.995,0.7866,0.89598,0.24951,0.97968,0.00288438,0.00288438,0.00288438
25,23065.3,0.91108,0.30367,1.01592,0.9999,0.99996,0.995,0.78676,0.89568,0.24957,0.98065,0.002575,0.002575,0.002575
26,23986.5,0.90946,0.29753,1.01344,0.99988,0.99999,0.995,0.78671,0.89577,0.24938,0.9812,0.00226562,0.00226562,0.00226562
27,24907.4,0.90501,0.29436,1.00192,0.99992,0.99997,0.995,0.78716,0.89551,0.24923,0.98012,0.00195625,0.00195625,0.00195625
28,25829.2,0.90205,0.2893,0.99524,0.99994,0.99997,0.995,0.78724,0.89534,0.24894,0.97794,0.00164688,0.00164688,0.00164688
29,26751.4,0.89947,0.28355,1.00683,0.99995,0.99997,0.995,0.7876,0.89496,0.24867,0.97821,0.0013375,0.0013375,0.0013375
30,27672.8,0.89538,0.27783,0.99576,0.99996,0.99999,0.995,0.78776,0.89451,0.24822,0.97738,0.00102812,0.00102812,0.00102812
31,28594.4,0.89143,0.27185,0.99129,0.99996,0.99999,0.995,0.78804,0.89403,0.24775,0.97608,0.00071875,0.00071875,0.00071875
32,29514.7,0.88819,0.2636,0.99644,0.99996,0.99999,0.995,0.78813,0.89364,0.24728,0.97582,0.000409375,0.000409375,0.000409375
